,precision,recall,f1-score,support
负面,0.8773830155979203,0.8970099667774086,0.8870879421750082,4515.0
正面,0.8938598493494636,0.8737170905845605,0.8836736996502313,4482.0
accuracy,0.88540624652662,0.88540624652662,0.88540624652662,0.88540624652662
macro avg,0.885621432473692,0.8853635286809846,0.8853808209126197,8997.0
weighted avg,0.8855912148726137,0.88540624652662,0.8853870824444258,8997.0
