,precision,recall,f1-score,support
负面,0.9039391845196959,0.8689105403011514,0.8860788077227052,4516.0
正面,0.8729613733905579,0.9070234113712374,0.8896664844177146,4485.0
accuracy,0.8879013442950783,0.8879013442950783,0.8879013442950783,0.8879013442950783
macro avg,0.888450278955127,0.8879669758361944,0.8878726460702099,9001.0
weighted avg,0.8885036237026551,0.8879013442950783,0.887866467980134,9001.0
