,precision,recall,f1-score,support
负面,0.8715226162667233,0.9089700996677741,0.8898525585429314,4515.0
正面,0.9041063929071396,0.8649553571428571,0.8840976500114077,4480.0
accuracy,0.8870483602001111,0.8870483602001111,0.8870483602001111,0.8870483602001111
macro avg,0.8878145045869315,0.8869627284053156,0.8869751042771696,8995.0
weighted avg,0.8877511120253742,0.8870483602001111,0.8869863005972699,8995.0
