,precision,recall,f1-score,support
负面,0.8986206896551724,0.8652058432934927,0.881596752368065,4518.0
正面,0.8690322580645161,0.9016064257028112,0.8850197109067017,4482.0
accuracy,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333
macro avg,0.8838264738598443,0.883406134498152,0.8833082316373834,9000.0
weighted avg,0.8838856507230256,0.8833333333333333,0.8833013857203061,9000.0
