,precision,recall,f1-score,support
负面,0.899481631733153,0.8835510294443214,0.8914451641724369,4517.0
正面,0.8846996931170539,0.9004908522980812,0.8925254312251216,4482.0
accuracy,0.8919879986665185,0.8919879986665185,0.8919879986665185,0.8919879986665185
macro avg,0.8920906624251035,0.8920209408712013,0.8919852976987792,8999.0
weighted avg,0.8921194082775072,0.8919879986665185,0.8919831969460931,8999.0
